,Unnamed: 0,algorithm,num_nodes,ratio_fraction,domain_size,sample_size,trial,time,equiv,precision,recall,f1,pure,structural
133,133,GHC,5,1.1,4,100,4,0.0099670886993408,False,1.0,0.2,0.3333333333333333,4,4
134,134,FCI,5,1.1,4,100,4,0.0007050037384033,False,1.0,0.2,0.3333333333333333,4,4
135,135,MIIC,5,1.1,4,250,0,0.0017650127410888,False,1.0,0.8,0.888888888888889,1,4
136,136,GHC,5,1.1,4,250,0,0.0100901126861572,False,1.0,1.0,1.0,0,0
137,137,FCI,5,1.1,4,250,0,0.0041301250457763,False,0.0,0.0,0.0,0,0
138,138,MIIC,5,1.1,4,250,1,0.0016992092132568,False,1.0,1.0,1.0,0,0
139,139,GHC,5,1.1,4,250,1,0.0100848674774169,False,1.0,1.0,1.0,0,0
140,140,FCI,5,1.1,4,250,1,0.0015430450439453,False,0.0,0.0,0.0,0,0
141,141,MIIC,5,1.1,4,250,2,0.0012297630310058,False,1.0,0.2,0.3333333333333333,4,4
142,142,GHC,5,1.1,4,250,2,0.0085310935974121,False,1.0,0.2,0.3333333333333333,4,4
143,143,FCI,5,1.1,4,250,2,0.0008609294891357,False,1.0,0.4,0.5714285714285715,3,4
144,144,MIIC,5,1.1,4,250,3,0.0015652179718017,False,1.0,0.8,0.888888888888889,1,1
145,145,GHC,5,1.1,4,250,3,0.0100650787353515,False,1.0,0.6,0.7499999999999999,2,2
146,146,FCI,5,1.1,4,250,3,0.0014667510986328,False,0.0,0.0,0.0,0,0
147,147,MIIC,5,1.1,4,250,4,0.0014901161193847,False,1.0,0.75,0.8571428571428571,1,4
148,148,GHC,5,1.1,4,250,4,0.0089881420135498,False,1.0,0.5,0.6666666666666666,2,4
149,149,FCI,5,1.1,4,250,4,0.0012171268463134,False,1.0,0.5,0.6666666666666666,2,4
150,150,MIIC,5,1.1,4,500,0,0.0013561248779296,False,1.0,0.4,0.5714285714285715,3,4
151,151,GHC,5,1.1,4,500,0,0.0088679790496826,False,1.0,0.4,0.5714285714285715,3,4
152,152,FCI,5,1.1,4,500,0,0.0014920234680175,False,0.0,0.0,0.0,0,0
153,153,MIIC,5,1.1,4,500,1,0.0015392303466796,False,1.0,0.6,0.7499999999999999,2,3
154,154,GHC,5,1.1,4,500,1,0.010289192199707,False,0.75,0.6,0.6666666666666665,3,5
155,155,FCI,5,1.1,4,500,1,0.0030939579010009,False,0.0,0.0,0.0,0,0
156,156,MIIC,5,1.1,4,500,2,0.0016779899597167,False,1.0,0.8,0.888888888888889,1,2
157,157,GHC,5,1.1,4,500,2,0.0100131034851074,False,1.0,0.8,0.888888888888889,1,2
158,158,FCI,5,1.1,4,500,2,0.0025053024291992,False,0.0,0.0,0.0,0,0
159,159,MIIC,5,1.1,4,500,3,0.0013179779052734,False,1.0,0.4,0.5714285714285715,3,5
160,160,GHC,5,1.1,4,500,3,0.0088880062103271,False,1.0,0.4,0.5714285714285715,3,5
161,161,FCI,5,1.1,4,500,3,0.0016820430755615,False,1.0,0.2,0.3333333333333333,4,5
162,162,MIIC,5,1.1,4,500,4,0.0013759136199951,False,1.0,0.4,0.5714285714285715,3,3
163,163,GHC,5,1.1,4,500,4,0.0085892677307128,False,1.0,0.2,0.3333333333333333,4,4
164,164,FCI,5,1.1,4,500,4,0.0009441375732421,False,1.0,0.4,0.5714285714285715,3,3
165,165,MIIC,5,1.1,4,1000,0,0.0015888214111328,False,1.0,0.75,0.8571428571428571,1,4
166,166,GHC,5,1.1,4,1000,0,0.0095219612121582,False,1.0,0.75,0.8571428571428571,1,4
167,167,FCI,5,1.1,4,1000,0,0.0025599002838134,False,0.0,0.0,0.0,0,0
168,168,MIIC,5,1.1,4,1000,1,0.0018460750579833,False,1.0,0.8,0.888888888888889,1,1
169,169,GHC,5,1.1,4,1000,1,0.0109298229217529,False,1.0,1.0,1.0,0,0
170,170,FCI,5,1.1,4,1000,1,0.0022768974304199,False,1.0,0.4,0.5714285714285715,3,3
171,171,MIIC,5,1.1,4,1000,2,0.001971960067749,False,1.0,0.8,0.888888888888889,1,1
172,172,GHC,5,1.1,4,1000,2,0.0102190971374511,False,1.0,0.8,0.888888888888889,1,1
173,173,FCI,5,1.1,4,1000,2,0.0031909942626953,False,0.0,0.0,0.0,0,0
174,174,MIIC,5,1.1,4,1000,3,0.0017189979553222,False,1.0,0.6,0.7499999999999999,2,4
175,175,GHC,5,1.1,4,1000,3,0.0095469951629638,False,1.0,0.6,0.7499999999999999,2,4
176,176,FCI,5,1.1,4,1000,3,0.0016729831695556,False,0.0,0.0,0.0,0,0
